"tau","a","b"
0.01,-2.39944830575857,0.8754426689677
0.02,-2.22546080005859,0.848044043553775
0.03,-2.12997799586414,0.842886249398173
0.04,-2.02495624533783,0.826561264042557
0.05,-1.95416362978644,0.81385775296813
0.06,-1.90989901969576,0.80634086090097
0.07,-1.87409898727932,0.804560983306218
0.08,-1.81853789454782,0.792481250360578
0.09,-1.78995828056831,0.791181967387016
0.1,-1.76936700001708,0.790009125481703
0.11,-1.7560612093704,0.793843522422294
0.12,-1.74958581375475,0.799301744767157
0.13,-1.73469668341254,0.801982899873076
0.14,-1.72278330120586,0.80381678124408
0.15,-1.70665379328054,0.802673150278911
0.16,-1.68183869375467,0.80119182859033
0.17,-1.6776377832845,0.805689502149116
0.18,-1.65131984737726,0.800676057799485
0.19,-1.65495801635743,0.807990902410029
0.2,-1.63653320131738,0.805329666281062
0.21,-1.62996707090309,0.807289907918993
0.22,-1.60588485344786,0.803870336711638
0.23,-1.60982698848981,0.810215747893338
0.24,-1.59316429699297,0.808465366544658
0.25,-1.58379336899915,0.810280382128633
0.26,-1.57442717764774,0.81052786656706
0.27,-1.56819156982851,0.81352536259388
0.28,-1.55751590977238,0.812766051194
0.29,-1.54476061017966,0.812295807534689
0.3,-1.54000271089575,0.815017563857165
0.31,-1.53408942278016,0.816750566459306
0.32,-1.52187921080279,0.816225902673124
0.33,-1.51732168436221,0.818161677014187
0.34,-1.50264757408399,0.815000199869425
0.35,-1.49802354295116,0.816912635637831
0.36,-1.49233049007387,0.819202312283607
0.37,-1.49023497928697,0.821626442599716
0.38,-1.48368746476786,0.822634486383786
0.39,-1.473243539119,0.822201287117859
0.4,-1.45874395765044,0.820555098936731
0.41,-1.4433120231538,0.817804943361973
0.42,-1.44490380943812,0.823572294180957
0.43,-1.44155291028366,0.826039226311851
0.44,-1.42211234192742,0.821991253315239
0.45,-1.41226562409121,0.82140962075333
0.46,-1.41554663709851,0.827492921540929
0.47,-1.40190327934613,0.826171426588661
0.48,-1.389835779355,0.82470575950784
0.49,-1.39060966082123,0.828376805854054
0.5,-1.38409863549521,0.829564037551191
0.51,-1.37075282431442,0.827825103517798
0.52,-1.37362545500445,0.833177610989697
0.53,-1.36433841750441,0.833501477347155
0.54,-1.36414145919155,0.837318296252635
0.55,-1.36303097901533,0.839853704412097
0.56,-1.3501021059171,0.838811865995973
0.57,-1.3450058748356,0.839847734216909
0.58,-1.33856160234189,0.841396956158748
0.59,-1.33424671832293,0.842502088310287
0.6,-1.32364080024554,0.842374671478637
0.61,-1.31197379013014,0.841872346583757
0.62,-1.2995102393835,0.84029842125143
0.63,-1.29386944183873,0.842757713299693
0.64,-1.2832820765832,0.843025500473244
0.65,-1.28233985237503,0.846622299311003
0.66,-1.27554674705847,0.848059248674558
0.67,-1.27536241205948,0.852779269575096
0.68,-1.26367569536731,0.852910247277613
0.69,-1.25352544539964,0.853669409963314
0.7,-1.24629463392974,0.854631615437249
0.71,-1.23002549608898,0.852078008775731
0.72,-1.22956457566512,0.857338401298259
0.73,-1.2164098091129,0.857399148208716
0.74,-1.20460782139377,0.856882256957783
0.75,-1.19477077803095,0.857228927673083
0.76,-1.18956683791995,0.860229986069557
0.77,-1.18126165293837,0.861217992286093
0.78,-1.17712095764782,0.863852089766435
0.79,-1.15680350646141,0.860188683787131
0.8,-1.14522064548607,0.860584609356973
0.81,-1.13116812573716,0.859191142781495
0.82,-1.108441150105,0.855745397555321
0.83,-1.10029902107018,0.85718809152115
0.84,-1.06799546547412,0.850591901386075
0.85,-1.07116670064423,0.85821390670616
0.86,-1.03693621424555,0.851682799998246
0.87,-1.02300023034763,0.854759884760033
0.88,-1.00102273657886,0.852835814545621
0.89,-0.999820543316625,0.863386709499682
0.9,-0.989311763324616,0.869488559690353
0.91,-0.968402192215224,0.86890524639261
0.92,-0.943239461929473,0.871841054649234
0.93,-0.886332985398221,0.860835538460202
0.94,-0.852231722919291,0.858021849119284
0.95,-0.807293166975923,0.853925181438138
0.96,-0.773350996206218,0.856870466043413
0.97,-0.722596772337427,0.86084994079048
0.98,-0.663417398625765,0.866309406022967
0.99,-0.518193255410607,0.846788440402228
1,0.0423843347259023,0.768351805208938
